Country_Region,Province_State,t,Incidence,est_incid
Hong Kong,Hong Kong,2020-01-22,0,NA
Hong Kong,Hong Kong,2020-01-23,0,NA
Hong Kong,Hong Kong,2020-01-24,0,NA
Hong Kong,Hong Kong,2020-01-25,3,NA
Hong Kong,Hong Kong,2020-01-26,3,NA
Hong Kong,Hong Kong,2020-01-27,0,NA
Hong Kong,Hong Kong,2020-01-28,0,NA
Hong Kong,Hong Kong,2020-01-29,2,NA
Hong Kong,Hong Kong,2020-01-30,0,NA
Hong Kong,Hong Kong,2020-01-31,2,NA
Hong Kong,Hong Kong,2020-02-01,1,NA
Hong Kong,Hong Kong,2020-02-02,2,NA
Hong Kong,Hong Kong,2020-02-04,2,NA
Hong Kong,Hong Kong,2020-02-05,4,NA
Hong Kong,Hong Kong,2020-02-06,3,NA
Hong Kong,Hong Kong,2020-02-07,1,NA
Hong Kong,Hong Kong,2020-02-08,1,NA
Hong Kong,Hong Kong,2020-02-09,3,NA
Hong Kong,Hong Kong,2020-02-10,9,NA
Hong Kong,Hong Kong,2020-02-11,11,NA
Hong Kong,Hong Kong,2020-02-12,1,NA
Hong Kong,Hong Kong,2020-02-13,3,NA
Hong Kong,Hong Kong,2020-02-14,3,NA
Hong Kong,Hong Kong,2020-02-16,1,NA
Hong Kong,Hong Kong,2020-02-17,3,NA
Hong Kong,Hong Kong,2020-02-18,2,NA
Hong Kong,Hong Kong,2020-02-19,1,NA
Hong Kong,Hong Kong,2020-02-20,5,NA
Hong Kong,Hong Kong,2020-02-21,0,NA
Hong Kong,Hong Kong,2020-02-22,1,NA
Hong Kong,Hong Kong,2020-02-23,5,NA
Hong Kong,Hong Kong,2020-02-24,5,NA
Hong Kong,Hong Kong,2020-02-25,5,NA
Macau,Macau,2020-01-22,1,NA
Macau,Macau,2020-01-23,1,NA
Macau,Macau,2020-01-24,0,NA
Macau,Macau,2020-01-25,0,NA
Macau,Macau,2020-01-26,3,NA
Macau,Macau,2020-01-27,1,NA
Macau,Macau,2020-01-28,1,NA
Macau,Macau,2020-01-29,0,NA
Macau,Macau,2020-01-30,0,NA
Macau,Macau,2020-01-31,0,NA
Macau,Macau,2020-02-02,1,NA
Macau,Macau,2020-02-04,2,NA
Macau,Macau,2020-02-06,0,NA
Macau,Macau,2020-02-12,0,NA
Macau,Macau,2020-02-13,0,NA
Macau,Macau,2020-02-16,0,NA
Macau,Macau,2020-02-20,0,NA
Macau,Macau,2020-02-25,0,NA
Mainland China,Anhui,2020-01-22,1,NA
Mainland China,Anhui,2020-01-23,8,NA
Mainland China,Anhui,2020-01-24,6,NA
Mainland China,Anhui,2020-01-25,24,NA
Mainland China,Anhui,2020-01-26,21,NA
Mainland China,Anhui,2020-01-27,10,NA
Mainland China,Anhui,2020-01-28,36,NA
Mainland China,Anhui,2020-01-29,46,NA
Mainland China,Anhui,2020-01-30,48,NA
Mainland China,Anhui,2020-01-31,37,NA
Mainland China,Anhui,2020-02-01,60,NA
Mainland China,Anhui,2020-02-02,43,NA
Mainland China,Anhui,2020-02-03,68,NA
Mainland China,Anhui,2020-02-04,72,NA
Mainland China,Anhui,2020-02-05,50,NA
Mainland China,Anhui,2020-02-06,61,NA
Mainland China,Anhui,2020-02-07,74,NA
Mainland China,Anhui,2020-02-08,68,NA
Mainland China,Anhui,2020-02-09,46,NA
Mainland China,Anhui,2020-02-10,51,NA
Mainland China,Anhui,2020-02-11,30,NA
Mainland China,Anhui,2020-02-12,29,NA
Mainland China,Anhui,2020-02-13,21,NA
Mainland China,Anhui,2020-02-14,24,NA
Mainland China,Anhui,2020-02-15,16,NA
Mainland China,Anhui,2020-02-16,12,NA
Mainland China,Anhui,2020-02-17,11,NA
Mainland China,Anhui,2020-02-18,9,NA
Mainland China,Anhui,2020-02-19,4,NA
Mainland China,Anhui,2020-02-20,1,NA
Mainland China,Anhui,2020-02-21,1,NA
Mainland China,Anhui,2020-02-22,1,NA
Mainland China,Anhui,2020-02-23,0,NA
Mainland China,Anhui,2020-02-24,0,NA
Mainland China,Anhui,2020-02-25,0,NA
Mainland China,Beijing,2020-01-22,14,NA
Mainland China,Beijing,2020-01-23,8,NA
Mainland China,Beijing,2020-01-24,14,NA
Mainland China,Beijing,2020-01-25,5,NA
Mainland China,Beijing,2020-01-26,27,NA
Mainland China,Beijing,2020-01-27,12,NA
Mainland China,Beijing,2020-01-28,11,NA
Mainland China,Beijing,2020-01-29,20,NA
Mainland China,Beijing,2020-01-30,3,NA
Mainland China,Beijing,2020-01-31,25,NA
Mainland China,Beijing,2020-02-01,29,NA
Mainland China,Beijing,2020-02-02,23,NA
Mainland China,Beijing,2020-02-03,21,NA
Mainland China,Beijing,2020-02-04,16,NA
Mainland China,Beijing,2020-02-05,25,NA
Mainland China,Beijing,2020-02-06,21,NA
Mainland China,Beijing,2020-02-07,23,NA
Mainland China,Beijing,2020-02-08,18,NA
Mainland China,Beijing,2020-02-09,11,NA
Mainland China,Beijing,2020-02-10,11,NA
Mainland China,Beijing,2020-02-11,5,NA
Mainland China,Beijing,2020-02-12,10,NA
Mainland China,Beijing,2020-02-13,14,NA
Mainland China,Beijing,2020-02-14,6,NA
Mainland China,Beijing,2020-02-15,3,NA
Mainland China,Beijing,2020-02-16,5,NA
Mainland China,Beijing,2020-02-17,1,NA
Mainland China,Beijing,2020-02-18,6,NA
Mainland China,Beijing,2020-02-19,6,NA
Mainland China,Beijing,2020-02-20,2,NA
Mainland China,Beijing,2020-02-21,1,NA
Mainland China,Beijing,2020-02-22,3,NA
Mainland China,Beijing,2020-02-23,0,NA
Mainland China,Beijing,2020-02-24,0,NA
Mainland China,Beijing,2020-02-25,1,NA
Mainland China,Chongqing,2020-01-22,6,NA
Mainland China,Chongqing,2020-01-23,3,NA
Mainland China,Chongqing,2020-01-24,18,NA
Mainland China,Chongqing,2020-01-25,30,NA
Mainland China,Chongqing,2020-01-26,18,NA
Mainland China,Chongqing,2020-01-27,35,NA
Mainland China,Chongqing,2020-01-28,22,NA
Mainland China,Chongqing,2020-01-29,15,NA
Mainland China,Chongqing,2020-01-30,35,NA
Mainland China,Chongqing,2020-01-31,29,NA
Mainland China,Chongqing,2020-02-01,36,NA
Mainland China,Chongqing,2020-02-02,53,NA
Mainland China,Chongqing,2020-02-03,37,NA
Mainland China,Chongqing,2020-02-04,29,NA
Mainland China,Chongqing,2020-02-05,23,NA
Mainland China,Chongqing,2020-02-06,22,NA
Mainland China,Chongqing,2020-02-07,15,NA
Mainland China,Chongqing,2020-02-08,2,NA
Mainland China,Chongqing,2020-02-09,40,NA
Mainland China,Chongqing,2020-02-10,18,NA
Mainland China,Chongqing,2020-02-11,19,NA
Mainland China,Chongqing,2020-02-12,13,NA
Mainland China,Chongqing,2020-02-13,11,NA
Mainland China,Chongqing,2020-02-14,8,NA
Mainland China,Chongqing,2020-02-15,7,NA
Mainland China,Chongqing,2020-02-16,7,NA
Mainland China,Chongqing,2020-02-17,2,NA
Mainland China,Chongqing,2020-02-18,2,NA
Mainland China,Chongqing,2020-02-19,5,NA
Mainland China,Chongqing,2020-02-20,7,NA
Mainland China,Chongqing,2020-02-21,5,NA
Mainland China,Chongqing,2020-02-22,1,NA
Mainland China,Chongqing,2020-02-23,2,NA
Mainland China,Chongqing,2020-02-24,1,NA
Mainland China,Chongqing,2020-02-25,0,NA
Mainland China,Fujian,2020-01-22,1,NA
Mainland China,Fujian,2020-01-23,4,NA
Mainland China,Fujian,2020-01-24,5,NA
Mainland China,Fujian,2020-01-25,8,NA
Mainland China,Fujian,2020-01-26,17,NA
Mainland China,Fujian,2020-01-27,24,NA
Mainland China,Fujian,2020-01-28,21,NA
Mainland China,Fujian,2020-01-29,4,NA
Mainland China,Fujian,2020-01-30,17,NA
Mainland China,Fujian,2020-01-31,19,NA
Mainland China,Fujian,2020-02-01,24,NA
Mainland China,Fujian,2020-02-02,15,NA
Mainland China,Fujian,2020-02-03,20,NA
Mainland China,Fujian,2020-02-04,15,NA
Mainland China,Fujian,2020-02-05,11,NA
Mainland China,Fujian,2020-02-06,10,NA
Mainland China,Fujian,2020-02-07,9,NA
Mainland China,Fujian,2020-02-08,15,NA
Mainland China,Fujian,2020-02-09,11,NA
Mainland China,Fujian,2020-02-10,11,NA
Mainland China,Fujian,2020-02-11,6,NA
Mainland China,Fujian,2020-02-12,5,NA
Mainland China,Fujian,2020-02-13,7,NA
Mainland China,Fujian,2020-02-14,2,NA
Mainland China,Fujian,2020-02-15,4,NA
Mainland China,Fujian,2020-02-16,2,NA
Mainland China,Fujian,2020-02-17,3,NA
Mainland China,Fujian,2020-02-18,2,NA
Mainland China,Fujian,2020-02-19,1,NA
Mainland China,Fujian,2020-02-20,0,NA
Mainland China,Fujian,2020-02-21,0,NA
Mainland China,Fujian,2020-02-22,0,NA
Mainland China,Fujian,2020-02-23,0,NA
Mainland China,Fujian,2020-02-24,0,NA
Mainland China,Fujian,2020-02-25,1,NA
Mainland China,Gansu,2020-01-22,0,NA
Mainland China,Gansu,2020-01-23,0,NA
Mainland China,Gansu,2020-01-24,0,NA
Mainland China,Gansu,2020-01-25,2,NA
Mainland China,Gansu,2020-01-26,3,NA
Mainland China,Gansu,2020-01-27,7,NA
Mainland China,Gansu,2020-01-28,5,NA
Mainland China,Gansu,2020-01-29,5,NA
Mainland China,Gansu,2020-01-30,2,NA
Mainland China,Gansu,2020-01-31,3,NA
Mainland China,Gansu,2020-02-01,11,NA
Mainland China,Gansu,2020-02-02,11,NA
Mainland China,Gansu,2020-02-03,4,NA
Mainland China,Gansu,2020-02-04,2,NA
Mainland China,Gansu,2020-02-05,5,NA
Mainland China,Gansu,2020-02-07,5,NA
Mainland China,Gansu,2020-02-08,12,NA
Mainland China,Gansu,2020-02-09,4,NA
Mainland China,Gansu,2020-02-10,0,NA
Mainland China,Gansu,2020-02-11,3,NA
Mainland China,Gansu,2020-02-12,1,NA
Mainland China,Gansu,2020-02-13,3,NA
Mainland China,Gansu,2020-02-15,0,NA
Mainland China,Gansu,2020-02-16,0,NA
Mainland China,Gansu,2020-02-17,1,NA
Mainland China,Gansu,2020-02-18,0,NA
Mainland China,Gansu,2020-02-19,0,NA
Mainland China,Gansu,2020-02-20,0,NA
Mainland China,Gansu,2020-02-21,0,NA
Mainland China,Gansu,2020-02-23,0,NA
Mainland China,Gansu,2020-02-24,0,NA
Mainland China,Guangdong,2020-01-22,26,NA
Mainland China,Guangdong,2020-01-23,6,NA
